,Ambient Pressure [Pa],dT [K],$r$ [m],Time_r [s]
0,370687.7551020408,12.938775510204081,1.0014495423693142e-06,1.1000000000000001e-08
0,370687.7551020408,13.73469387755102,1.001538193979552e-06,7.000000000000001e-09
0,370687.7551020408,14.53061224489796,1.001626787346709e-06,1.1000000000000001e-08
0,370687.7551020408,15.326530612244898,1.0017153221671914e-06,1.2000000000000002e-08
0,370687.7551020408,16.122448979591837,1.0018038037206207e-06,1.2000000000000002e-08
0,370687.7551020408,16.918367346938776,1.0018922339839982e-06,1e-08
0,370687.7551020408,17.714285714285715,1.001980609357306e-06,1.1000000000000001e-08
0,370687.7551020408,18.510204081632654,1.0020689281854738e-06,1.3e-08
0,370687.7551020408,19.306122448979593,1.0021571936679382e-06,1.3e-08
0,370687.7551020408,20.10204081632653,1.0022454093411707e-06,1.2000000000000002e-08
0,370687.7551020408,20.897959183673468,1.0023335747186665e-06,9.000000000000001e-09
0,370687.7551020408,21.693877551020407,1.0024216872613424e-06,1.2000000000000002e-08
0,370687.7551020408,22.489795918367346,1.0025097463370724e-06,1.4000000000000001e-08
0,370687.7551020408,23.285714285714285,1.0025977548312136e-06,1.4000000000000001e-08
0,370687.7551020408,24.081632653061224,1.0026857154844943e-06,1.4000000000000001e-08
0,370687.7551020408,24.877551020408163,1.0027736283723398e-06,1.1000000000000001e-08
0,370687.7551020408,25.6734693877551,1.0028614917026606e-06,1.2000000000000002e-08
0,370687.7551020408,26.46938775510204,1.0029493046499109e-06,1.4000000000000001e-08
0,370687.7551020408,27.26530612244898,1.0030370683297474e-06,1.5000000000000002e-08
0,370687.7551020408,28.06122448979592,1.003124785363346e-06,1.5000000000000002e-08
0,370687.7551020408,28.857142857142858,1.00321245723986e-06,1.4000000000000001e-08
0,370687.7551020408,29.653061224489797,1.0033000835881178e-06,1.2000000000000002e-08
0,370687.7551020408,30.448979591836736,1.0033876631579024e-06,1.3e-08
0,370687.7551020408,31.244897959183675,1.0034751955830868e-06,1.5000000000000002e-08
